db, DOS
5,0.0
10,0.0
15,0.0
20,0.0
25,0.0
30,0.0
35,0.0
40,0.0
45,0.0
50,0.0
55,0.0
60,0.0
65,0.0
70,0.0
75,0.0
80,0.0
85,0.0
90,0.0
95,0.0
100,0.0
5,0.0
10,0.0
15,0.0
20,0.0
25,0.0
30,0.0
35,0.0
40,0.0
50,0.0
55,0.0
5,0.0
10,0.0
15,0.0
20,0.0
25,0.0
30,0.0
35,0.0
40,0.0
45,0.0625085842477
50,0.0625085842477
55,0.0625085842477
60,0.0625085842477
65,0.0625085842477
70,0.0625085842477
75,0.0625085842477
80,0.0625085842477
85,0.0625085842477
90,0.0625085842477
95,0.0625085842477
100,0.0625085842477
5,0.0
10,0.0
15,0.0
20,0.0
25,0.0
30,0.0
35,0.0
40,0.0
45,0.12503243334
50,0.12503243334
55,0.12503243334
60,0.12503243334
65,0.12503243334
70,0.12503243334
75,0.12503243334
80,0.12503243334
85,0.12503243334
90,0.12503243334
95,0.12503243334
100,0.12503243334
5,0.0166015625046
10,0.0166740417527
15,0.0166740417527
20,0.0166740417527
25,0.0166778564499
30,0.0166778564499
35,0.0333557129086
40,0.0333557129086
45,0.0186310410551
50,0.0186272263578
55,0.0186272263578
60,0.0186272263578
65,0.0450669527296
70,0.0186310410551
75,0.0450755357985
80,0.0450745821242
85,0.0451365709548
90,0.0450755357985
95,0.0451365709548
100,0.024521410472
